CV1 CV2 aepbe0 electron_affinity polarizability_pbe C O N S Cl H
-1.73852e-02 2.44947e-02 -1.0844498e+03 6.4443000e-01 8.5957920e+00 4 0 1 0 0 5
8.36285e-03 1.97087e-01 -1.3437556e+03 -8.4448000e-01 9.3399480e+00 4 0 1 0 0 9
6.27382e-04 3.82697e-02 -1.0829858e+03 5.9330000e-01 8.2659380e+00 4 0 1 0 0 5
2.45969e-02 2.87040e-01 -1.4877797e+03 -2.8734100e+00 9.3716970e+00 4 0 1 0 0 11
3.10881e-02 3.32095e-01 -1.4910366e+03 -2.7307700e+00 9.3926360e+00 4 0 1 0 0 11
5.93100e-02 1.38103e-01 -1.2260651e+03 -1.1158200e+00 8.1139110e+00 4 0 1 0 0 7
-3.57166e-02 9.69663e-02 -1.1907526e+03 -2.0486100e+00 9.1543310e+00 4 0 1 0 0 7
-2.27430e-01 -2.95924e-01 -9.2920453e+02 1.7008000e-01 8.5716710e+00 4 0 1 0 0 3
1.59042e-02 2.79473e-01 -1.4885992e+03 -2.9015400e+00 9.3933170e+00 4 0 1 0 0 11
5.24868e-02 1.38102e-01 -1.2259642e+03 -1.1060500e+00 8.1924290e+00 4 0 1 0 0 7
-1.04645e-02 3.25496e-01 -1.4812041e+03 -3.0870800e+00 9.5341520e+00 4 0 1 0 0 11
-2.10182e-02 2.83135e-01 -1.3315494e+03 -3.3527100e+00 8.8093290e+00 4 0 1 0 0 9
-2.23736e-02 3.51349e-01 -1.4830522e+03 -3.3028900e+00 9.5946790e+00 4 0 1 0 0 11
9.74571e-04 1.90781e-01 -1.3423502e+03 -8.2289000e-01 9.3934830e+00 4 0 1 0 0 9
-4.10772e-02 8.94977e-02 -1.1855828e+03 -1.9434700e+00 8.8499160e+00 4 0 1 0 0 7
-4.60521e-02 4.26031e-01 -1.4758590e+03 -3.2621400e+00 9.6023060e+00 4 0 1 0 0 11
-1.50993e-02 2.86809e-01 -1.3333660e+03 -3.2136200e+00 8.8686950e+00 4 0 1 0 0 9
-1.32085e-02 2.31228e-01 -1.3354088e+03 -3.3515500e+00 8.8489760e+00 4 0 1 0 0 9
-7.14555e-03 3.14686e-01 -1.4825671e+03 -3.0461900e+00 9.4767590e+00 4 0 1 0 0 11
-1.45414e-02 2.25177e-01 -1.3360084e+03 -7.9437000e-01 9.5170360e+00 4 0 1 0 0 9
-4.27224e-02 1.31433e-01 -1.1780077e+03 -1.9450500e+00 8.9671630e+00 4 0 1 0 0 7
-2.83478e-01 1.52699e-01 -1.0884241e+03 -1.0631000e+00 7.8107710e+00 3 0 2 0 0 6
2.72835e-02 2.70997e-01 -1.3434714e+03 -3.0434400e+00 8.7257310e+00 4 0 1 0 0 9
2.07542e-02 2.37910e-01 -1.3399401e+03 -3.0161200e+00 8.7698910e+00 4 0 1 0 0 9
2.66773e-02 8.74968e-02 -1.0788735e+03 -1.0488800e+00 7.6125480e+00 4 0 1 0 0 5
-3.11439e-01 -6.43908e-02 -9.4359747e+02 -9.0528000e-01 7.1197770e+00 3 0 2 0 0 4
6.02579e-03 2.15934e-01 -1.3423168e+03 -7.9694000e-01 9.4396640e+00 4 0 1 0 0 9
-3.09407e-02 1.15137e-01 -1.1867046e+03 -1.9536800e+00 8.9016190e+00 4 0 1 0 0 7
-4.11097e-01 -1.65317e-01 -9.6649481e+02 4.7252000e-01 8.4455670e+00 3 0 2 0 0 4
2.55026e-01 -7.59057e-02 -1.1478213e+03 -7.4113000e-01 7.6044600e+00 4 1 0 0 0 6
2.34694e-01 -1.63738e-01 -1.0252477e+03 -4.2500000e-03 7.2828430e+00 4 1 0 0 0 4
3.51054e-01 -3.13588e-02 -1.2870642e+03 -2.9794300e+00 7.8214030e+00 4 1 0 0 0 8
2.75654e-01 -7.32389e-02 -1.1442476e+03 -6.8494000e-01 7.6872200e+00 4 1 0 0 0 6
2.69377e-01 9.96878e-03 -1.2726479e+03 -2.8342500e+00 8.0725370e+00 4 1 0 0 0 8
3.07321e-01 -2.87534e-02 -1.2724417e+03 -2.8338500e+00 7.9712120e+00 4 1 0 0 0 8
3.17651e-01 -3.06952e-02 -1.2742908e+03 -2.4518200e+00 7.9724540e+00 4 1 0 0 0 8
3.13313e-01 -2.49450e-02 -1.2692141e+03 -2.6882900e+00 7.8990660e+00 4 1 0 0 0 8
2.97412e-01 -2.61463e-02 -1.2749703e+03 -2.6300500e+00 8.0651510e+00 4 1 0 0 0 8
3.01161e-01 5.80597e-03 -1.2748347e+03 -3.3071900e+00 8.0710650e+00 4 1 0 0 0 8
2.93030e-01 -2.62449e-02 -1.2700381e+03 -2.6031600e+00 7.9763500e+00 4 1 0 0 0 8
2.45969e-01 -6.09776e-02 -1.1253556e+03 -4.2969000e-01 8.2007210e+00 4 1 0 0 0 6
1.75280e-01 -1.70203e-01 -9.6516217e+02 -1.5069800e+00 7.5787530e+00 4 1 0 0 0 4
3.52876e-01 2.29491e-02 -1.4199113e+03 -2.7639000e+00 8.7199970e+00 4 1 0 0 0 10
2.04471e-01 -2.25093e-02 -1.1434371e+03 7.2677000e-01 8.1554450e+00 4 1 0 0 0 6
2.61698e-01 -2.38839e-04 -1.2782609e+03 -6.1879000e-01 8.8530720e+00 4 1 0 0 0 8
1.98562e-01 -3.34081e-02 -1.1514537e+03 1.3791300e+00 8.6995270e+00 4 1 0 0 0 6
2.71486e-01 -3.80273e-04 -1.2781226e+03 -6.3269000e-01 8.6406790e+00 4 1 0 0 0 8
1.98560e-01 -2.84758e-02 -1.1508024e+03 1.4080500e+00 8.2989190e+00 4 1 0 0 0 6
3.34810e-01 3.12098e-02 -1.4206938e+03 -2.6623900e+00 8.6561580e+00 4 1 0 0 0 10
3.87869e-01 1.85286e-02 -1.4256910e+03 -2.5549000e+00 8.6727430e+00 4 1 0 0 0 10
2.56758e-01 1.68738e-02 -1.2896011e+03 5.4587000e-01 8.1928690e+00 4 1 0 0 0 8
2.16051e-01 -8.29386e-02 -1.1234619e+03 -1.7951200e+00 8.4369440e+00 4 1 0 0 0 6
1.12547e-01 -1.90900e-01 -9.9145959e+02 1.2910000e+00 8.2455410e+00 4 1 0 0 0 4
3.36720e-01 1.78369e-02 -1.4224562e+03 -2.6889100e+00 8.6546440e+00 4 1 0 0 0 10
2.67602e-01 5.65943e-03 -1.2958141e+03 3.9977000e-01 8.1219650e+00 4 1 0 0 0 8
2.53691e-01 8.38116e-03 -1.2896993e+03 6.2354000e-01 8.1900050e+00 4 1 0 0 0 8
4.16047e-01 -5.57149e-02 -1.4110801e+03 -3.0069000e+00 8.8441390e+00 4 1 0 0 0 10
4.43364e-01 -7.28388e-02 -1.4143815e+03 -3.1753400e+00 8.9009240e+00 4 1 0 0 0 10
2.80888e-01 -1.01294e-01 -1.1291055e+03 -7.4980000e-01 9.2571860e+00 4 1 0 0 0 6
2.08717e-01 -4.36500e-02 -1.1519808e+03 1.2824300e+00 8.1925120e+00 4 1 0 0 0 6
1.39324e-01 -1.64318e-01 -9.8971008e+02 1.1918700e+00 7.7486330e+00 4 1 0 0 0 4
2.59815e-01 -6.25774e-03 -1.2762941e+03 -6.5151000e-01 8.6939560e+00 4 1 0 0 0 8
2.00869e-01 -8.24702e-02 -1.1190988e+03 -1.7042200e+00 8.1426830e+00 4 1 0 0 0 6
3.25164e-01 -7.38560e-02 -1.2738933e+03 -7.3924000e-01 8.6811580e+00 4 1 0 0 0 8
3.39933e-01 -5.60830e-02 -1.2633188e+03 -3.1039300e+00 8.1186100e+00 4 1 0 0 0 8
3.08960e-01 -6.97649e-02 -1.2704580e+03 -8.2180000e-01 9.0082330e+00 4 1 0 0 0 8
4.05400e-01 -5.67961e-02 -1.4129025e+03 -2.8853400e+00 8.7481860e+00 4 1 0 0 0 10
3.16514e-01 -7.04663e-02 -1.2710081e+03 -8.0818000e-01 8.7596000e+00 4 1 0 0 0 8
3.30327e-01 -6.48521e-02 -1.2644417e+03 -7.6864000e-01 8.8290790e+00 4 1 0 0 0 8
2.71478e-01 -1.60790e-01 -1.1055911e+03 -1.8985300e+00 8.3149690e+00 4 1 0 0 0 6
3.29128e-01 2.46814e-02 -1.2774653e+03 -2.8303400e+00 8.0120130e+00 4 1 0 0 0 8
2.46808e-01 1.12432e-02 -1.1516302e+03 4.2262000e-01 7.5264770e+00 4 1 0 0 0 6
2.95181e-01 1.27094e-02 -1.2729681e+03 -2.8882400e+00 8.0853770e+00 4 1 0 0 0 8
2.38772e-01 -6.52604e-03 -1.1456263e+03 5.8745000e-01 7.7236830e+00 4 1 0 0 0 6
1.59640e-01 -1.12683e-01 -9.8627863e+02 8.2724000e-01 7.6636050e+00 4 1 0 0 0 4
2.81767e-01 -8.54664e-03 -1.2748284e+03 -8.6608000e-01 8.6964160e+00 4 1 0 0 0 8
2.33053e-01 -9.12084e-02 -1.1191482e+03 -1.8911900e+00 8.1593730e+00 4 1 0 0 0 6
9.67242e-03 -1.60072e-01 -1.0025287e+03 1.2499000e-01 6.9547570e+00 3 1 1 0 0 5
-6.45512e-02 -2.59768e-01 -8.8218762e+02 7.6138000e-01 6.5323840e+00 3 1 1 0 0 3
-6.48162e-02 -2.89150e-01 -9.0539087e+02 4.4162000e-01 6.4818600e+00 3 1 1 0 0 3
2.32715e-02 -9.32791e-02 -1.1401781e+03 -1.8390000e-02 8.0474750e+00 3 1 1 0 0 7
3.99786e-05 -7.40924e-02 -1.1351647e+03 7.6160000e-02 8.2383260e+00 3 1 1 0 0 7
8.96914e-03 -6.79607e-02 -1.1889171e+03 6.7210000e-02 7.7079700e+00 3 1 1 0 0 7
-4.76671e-02 -1.26147e-01 -1.0383021e+03 6.1861000e-01 8.3362550e+00 3 1 1 0 0 5
6.81202e-02 -2.05863e-02 -1.2974388e+03 -2.7173900e+00 8.1965520e+00 3 1 1 0 0 9
-1.14356e-02 -6.36555e-02 -1.1797031e+03 1.7675000e-01 7.8188960e+00 3 1 1 0 0 7
7.93065e-02 -2.65119e-02 -1.2987886e+03 -2.8097400e+00 8.2542360e+00 3 1 1 0 0 9
1.10239e-01 -2.91153e-01 -1.1239298e+03 1.5526000e-01 8.3706670e+00 3 1 1 0 0 7
7.45805e-02 -5.14134e-04 -1.2885641e+03 -2.9897200e+00 8.2876090e+00 3 1 1 0 0 9
2.43540e-02 -5.77669e-02 -1.1737942e+03 1.5673000e-01 7.8574360e+00 3 1 1 0 0 7
3.49955e-03 -6.49840e-02 -1.1815742e+03 7.3300000e-02 7.7337480e+00 3 1 1 0 0 7
1.64465e-02 -3.75816e-02 -1.1538831e+03 6.2976000e-01 7.8382200e+00 3 1 1 0 0 7
1.80908e-01 -2.68955e-01 -1.2841747e+03 -3.1244700e+00 8.3765580e+00 3 1 1 0 0 9
7.97601e-02 -2.41258e-01 -1.1264246e+03 3.7130000e-02 8.4568530e+00 3 1 1 0 0 7
2.18203e-02 -9.02733e-02 -1.1481735e+03 -3.0661900e+00 7.6427350e+00 3 1 1 0 0 7
6.73354e-02 -1.14372e-01 -1.1416927e+03 -2.8542700e+00 7.4755260e+00 3 1 1 0 0 7
5.81897e-02 -9.90509e-02 -1.1410251e+03 -2.6578700e+00 7.5464350e+00 3 1 1 0 0 7
8.76746e-02 -2.16356e-02 -1.2922583e+03 -2.8514200e+00 8.2592790e+00 3 1 1 0 0 9
-5.07449e-02 -1.72951e-01 -1.0351117e+03 1.2535600e+00 8.6629080e+00 3 1 1 0 0 5
-5.08098e-02 -1.56661e-01 -1.0438154e+03 8.3520000e-01 7.7734280e+00 3 1 1 0 0 5
-1.81999e-01 -3.31048e-01 -8.8192773e+02 8.2719000e-01 7.2970550e+00 3 1 1 0 0 3
-5.19257e-02 -9.55286e-02 -1.0408232e+03 2.6700000e-02 7.0776730e+00 3 1 1 0 0 5
3.44527e-02 -4.00152e-02 -1.1425417e+03 -2.7890400e+00 7.5334100e+00 3 1 1 0 0 7
-2.63010e-02 -8.95256e-02 -1.0172999e+03 4.8253000e-01 7.0367680e+00 3 1 1 0 0 5
2.43618e-02 -5.58344e-02 -1.1417919e+03 -2.8095000e+00 7.5720670e+00 3 1 1 0 0 7
-1.81518e-02 -9.34204e-02 -1.0120327e+03 7.3301000e-01 7.1736570e+00 3 1 1 0 0 5
-1.31749e-02 -1.21396e-01 -1.0112432e+03 5.2474000e-01 6.9542150e+00 3 1 1 0 0 5
-5.46130e-02 -1.64642e-01 -9.9369269e+02 1.0149400e+00 8.8733340e+00 3 1 1 0 0 5
-1.43091e-01 -3.38721e-01 -8.3164423e+02 9.1567000e-01 8.1621460e+00 3 1 1 0 0 3
-3.14642e-01 -5.16041e-01 -9.9997583e+02 3.3175000e-01 9.5824360e+00 4 0 0 1 0 4
-3.20940e-01 -4.38476e-01 -8.7412189e+02 9.4161000e-01 8.7869180e+00 3 0 1 1 0 3
-3.55686e-01 -4.66798e-01 -8.7625519e+02 7.8536000e-01 8.8100120e+00 3 0 1 1 0 3
4.48127e-01 4.85501e-01 -1.6197762e+03 -2.7779100e+00 1.0295524e+01 6 0 0 0 0 10
4.85637e-01 5.51162e-01 -1.6362026e+03 -2.9151000e+00 1.0099571e+01 6 0 0 0 0 10
4.57675e-01 5.03558e-01 -1.6394390e+03 -2.9757100e+00 1.0134558e+01 6 0 0 0 0 10
4.72706e-01 5.79480e-01 -1.7915580e+03 -2.9276700e+00 1.0730128e+01 6 0 0 0 0 12
4.30984e-01 4.95799e-01 -1.7690977e+03 -2.7193300e+00 1.1081796e+01 6 0 0 0 0 12
4.39752e-01 5.04889e-01 -1.7707837e+03 -2.7841700e+00 1.1019543e+01 6 0 0 0 0 12
4.37689e-01 4.93616e-01 -1.7688152e+03 -3.0017600e+00 1.1077969e+01 6 0 0 0 0 12
4.43562e-01 5.30963e-01 -1.7870963e+03 -2.8413600e+00 1.0816092e+01 6 0 0 0 0 12
4.44221e-01 5.19611e-01 -1.7697903e+03 -2.6406600e+00 1.0955570e+01 6 0 0 0 0 12
4.38761e-01 5.06703e-01 -1.7695667e+03 -2.8553400e+00 1.0991673e+01 6 0 0 0 0 12
4.30009e-01 4.90338e-01 -1.7686243e+03 -2.8861400e+00 1.1119269e+01 6 0 0 0 0 12
4.42189e-01 5.30881e-01 -1.7685840e+03 -2.7981900e+00 1.0981719e+01 6 0 0 0 0 12
4.30513e-01 5.00045e-01 -1.7682881e+03 -2.6612200e+00 1.0984392e+01 6 0 0 0 0 12
4.35532e-01 5.21352e-01 -1.7670450e+03 -2.8503400e+00 1.1074802e+01 6 0 0 0 0 12
4.33163e-01 4.99690e-01 -1.7677627e+03 -2.7162300e+00 1.1016025e+01 6 0 0 0 0 12
4.44691e-01 5.86065e-01 -1.9137649e+03 -2.8687700e+00 1.1792181e+01 6 0 0 0 0 14
4.37403e-01 5.66156e-01 -1.9127064e+03 -2.6443500e+00 1.1573318e+01 6 0 0 0 0 14
4.32167e-01 5.58871e-01 -1.9126455e+03 -2.7359000e+00 1.1602928e+01 6 0 0 0 0 14
4.34720e-01 5.70898e-01 -1.9135558e+03 -2.5443300e+00 1.1558162e+01 6 0 0 0 0 14
4.31746e-01 5.58526e-01 -1.9136687e+03 -2.7694900e+00 1.1689045e+01 6 0 0 0 0 14
4.88312e-01 5.06090e-01 -1.4794963e+03 -7.4160000e-01 9.9271640e+00 6 0 0 0 0 8
4.45303e-01 4.49855e-01 -1.4999775e+03 -7.9711000e-01 9.9420860e+00 6 0 0 0 0 8
4.85079e-01 4.41430e-01 -1.4040519e+03 -1.4623000e-01 1.0317761e+01 6 0 0 0 0 6
4.45074e-01 4.35271e-01 -1.5088337e+03 -9.8965000e-01 1.0423965e+01 6 0 0 0 0 8
4.29267e-01 4.22963e-01 -1.5085946e+03 5.3740000e-02 1.0630619e+01 6 0 0 0 0 8
